Dato;Tekst;Beløb;Saldo;Status;Afstemt
04.05.2026;Løn;3.500,00;42.318,55;Udført;Ja
04.05.2026;NETFLIX.COM;-119,00;42.199,55;Udført;Ja
06.05.2026;SPOTIFY P0411234567;-99,00;42.100,55;Udført;Ja
07.05.2026;MENY VESTERBRO;-342,18;41.758,37;Udført;Ja
09.05.2026;NETTO 1234 KBH V;-188,45;41.569,92;Udført;Ja
12.05.2026;MOBILEPAY*12345 Rune;-150,00;41.419,92;Udført;Ja
15.05.2026;DSB REJSEKORT;-360,00;41.059,92;Udført;Ja
18.05.2026;CIRCLE K BENZIN;-642,37;40.417,55;Udført;Nej
22.05.2026;RESTAURANT NOMA;-1.842,00;38.575,55;Udført;Ja
25.05.2026;IKEA TAASTRUP;-2.199,00;36.376,55;Udført;Ja
01.06.2026;HUSLEJE;-8.800,00;27.576,55;Udført;Ja
04.06.2026;Løn;3.500,00;31.076,55;Udført;Ja
05.06.2026;NETFLIX.COM;-119,00;30.957,55;Udført;Ja
06.06.2026;SPOTIFY P0411234567;-99,00;30.858,55;Udført;Ja
08.06.2026;MENY VESTERBRO;-410,90;30.447,65;Udført;Ja
11.06.2026;NETTO 1234 KBH V;-211,25;30.236,40;Udført;Ja
14.06.2026;FITNESS WORLD;-249,00;29.987,40;Udført;Ja
20.06.2026;SAS BILLET;-1.450,00;28.537,40;Udført;Nej
28.06.2026;MATAS ØSTERBRO;-329,95;28.207,45;Udført;Ja
30.06.2026;RENTER;22.000,00;50.207,45;Udført;Ja
